Nom,Population
Ahuntsic–Cartierville,134245
Anjou,42796
Baie-D'Urfé,3823
Beaconsfield,19324
Côte-des-Neiges–Notre-Dame-de-Grâce,166520
Côte-Saint-Luc,32448
Dollard-des-Ormeaux,48899
Dorval,18980
Hampstead,6973
Kirkland,20151
Lachine,44489
LaSalle,76853
L'Île-Bizard–Sainte-Geneviève,18413
L'Île-Dorval,5
Mercier–Hochelaga-Maisonneuve,136024
Montréal-Est,3850
Montréal-Nord,84234
Montréal-Ouest,5050
Mont-Royal,20276
Outremont,23954
Pierrefonds–Roxboro,69297
Plateau-Mont-Royal,104000
Pointe-Claire,31380
Rivière-des-Prairies–Pointe-aux-Trembles,106743
Rosemont–La Petite Patrie,139590
Sainte-Anne-de-Bellevue,4958
Saint-Laurent,98828
Saint-Léonard,78305
Senneville,921
Sud-Ouest,78151
Verdun,69229
Ville-Marie,89170
Villeray–Saint-Michel–Parc-Extension,143853
Westmount,20312
