Province,20/01/26,20/01/27,20/01/28,20/01/29,20/01/30,20/01/31,20/02/01,20/02/02,20/02/03,20/02/04,20/02/05,20/02/06,20/02/07,20/02/08,20/02/09,20/02/10,20/02/11,20/02/12,20/02/13,20/02/14,20/02/15,20/02/16,20/02/17,20/02/18,20/02/19,20/02/20,20/02/21,20/02/22,20/02/23,20/02/24,20/02/25,20/02/26,20/02/27,20/02/28,20/02/29,20/03/01,20/03/02,20/03/03,20/03/04,20/03/05,20/03/06,20/03/07,20/03/08,20/03/09,20/03/10,20/03/11,20/03/12,20/03/13,20/03/14,20/03/15,20/03/16,20/03/17,20/03/18,20/03/19,20/03/20,20/03/21,20/03/22,20/03/23,20/03/24,20/03/25,20/03/26,20/03/27,20/03/28,20/03/29,20/03/30,20/03/31,20/04/01,20/04/02,20/04/03,20/04/04,20/04/05,20/04/06,20/04/07,20/04/08,20/04/09,20/04/10,20/04/11,20/04/12,20/04/13,20/04/14,20/04/15,20/04/16,20/04/17,20/04/18,20/04/19,20/04/20,20/04/21,20/04/22,20/04/23,20/04/24,20/04/25,20/04/26,20/04/27,20/04/28,20/04/29,20/04/30
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,4,67,82,102,120,135,148,152,152,175,183,195,203,217,226,228,232,236,239,241,242,244,244,247,252,256,257,257,257,257,256,256,257,257,258,258,258,258
PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,5,9,11,11,11,18,21,21,21,22,22,22,22,22,22,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27
NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,9,28,41,51,68,73,90,110,122,127,147,147,173,193,207,236,262,310,310,373,373,407,428,445,474,517,549,579,606,649,675,721,737,772,827,865,865,873,900,915,935
NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,7,7,8,9,9,18,26,33,45,51,66,68,70,70,81,91,95,98,101,103,105,108,111,112,112,114,116,116,117,117,117,118,118,118,118,118,118,118,118,118,118,118,118
QC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,7,9,17,17,24,39,50,74,94,121,139,181,221,628,1013,1339,1629,2021,2498,2840,3430,4162,4611,5518,6101,6997,7944,8580,9340,10031,10912,11677,12292,12846,13557,14248,14860,15857,16798,17521,18357,19319,20126,20965,21838,22616,23267,24107,24982,25757,26594,26594
ON,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,6,8,11,15,18,20,20,22,28,28,31,35,37,42,59,79,103,145,177,177,189,258,318,377,425,503,588,688,858,993,993,1355,1706,1966,2392,2793,3255,3630,4038,4347,4726,5276,5759,6237,6648,7049,7470,7470,7953,8447,8961,10010,10578,10578,11735,12245,12879,12879,13995,14432,14856,15381,15728,16187
MB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,7,7,8,9,9,11,11,11,11,11,11,25,64,72,83,103,103,127,167,182,194,203,204,217,221,224,230,243,242,246,246,246,250,250,253,253,254,255,257,262,267,267,271,272,272,273
SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,8,8,25,33,33,72,86,95,104,134,134,175,184,184,193,206,220,231,249,253,260,271,278,285,289,298,300,301,304,305,307,313,315,316,320,326,331,349,349,353,365,366,383
AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,7,14,19,23,29,39,56,74,74,97,146,195,226,259,259,358,419,486,542,542,621,690,754,754,871,968,1075,1181,1250,1348,1373,1423,1451,1500,1569,1651,1732,1870,1996,2158,2397,2562,2562,2908,3095,3401,3720,4233,4233,4480,4696,4850,5165
BC,0,0,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,12,13,13,21,27,27,32,39,46,53,64,73,73,103,103,186,271,348,424,424,472,617,659,725,725,884,884,960,1013,1013,1066,1121,1174,1203,1203,1266,1291,1336,1370,1410,1445,1445,1490,1517,1561,1561,1618,1618,1618,1699,1724,1795,1824,1948,1948,1948,1998,2053,2087
YT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,4,4,5,5,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,9,9,9,11,11,11,11,11,11,11,11,11,11
NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
NU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadiens rapatriés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,8,9,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Somme totale,1,2,3,3,3,4,4,4,4,5,5,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,11,11,12,13,16,20,24,27,33,34,38,53,59,64,78,97,118,155,198,250,329,420,449,591,838,1047,1280,1430,1979,2751,3385,4018,4675,5425,6258,7424,8591,9466,11039,12330,13820,15373,16458,17823,19138,20685,22008,23174,24273,25515,26371,27675,29376,31033,33135,34758,35748,38189,39771,41697,42888,45354,46631,48194,49800,51210,52056
