Nom,20/02/28,20/02/29,20/03/01,20/03/02,20/03/03,20/03/04,20/03/05,20/03/06,20/03/07,20/03/08,20/03/09,20/03/10,20/03/11,20/03/12,20/03/13,20/03/14,20/03/15,20/03/16,20/03/17,20/03/18,20/03/19,20/03/20,20/03/21,20/03/22,20/03/23,20/03/24,20/03/25,20/03/26,20/03/27,20/03/28,20/03/29,20/03/30,20/03/31,20/04/01,20/04/02,20/04/03,20/04/04,20/04/05,20/04/06,20/04/07,20/04/08,20/04/09,20/04/10,20/04/11,20/04/12,20/04/13,20/04/14,20/04/15,20/04/16,20/04/17,20/04/18,20/04/19,20/04/20,20/04/21,20/04/22,20/04/23,20/04/24,20/04/25,20/04/26,20/04/27,20/04/28,20/04/29
Bas-Saint-Laurent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,6,6,7,8,8,11,13,18,19,24,27,27,29,30,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,37,34,34
Saguenay–Lac-Saint-Jean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,8,11,16,18,18,24,31,32,32,44,55,79,93,103,118,123,135,142,149,161,170,175,202,204,214,226,239,244,249,257,261,266,266,273,273,272
Capitale-Nationale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,10,10,13,13,33,79,95,103,106,148,164,174,213,247,270,280,309,345,357,375,392,412,427,440,444,480,511,528,551,569,586,599,615,630,647,658,682,720,762,775,789,807
Mauricie–Centre-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,4,5,7,16,32,35,49,69,85,122,164,215,247,318,364,431,494,549,589,614,648,673,711,739,785,830,862,891,917,947,961,989,1015,1046,1086,1111,1107,1127,1155,1176,1219
Estrie,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,9,18,26,26,27,30,48,130,169,187,227,253,296,329,365,379,404,450,499,518,548,570,597,620,642,661,689,704,721,738,751,763,770,778,787,794,797,803,803,813,822,826,826,827
Montréal,1,1,1,1,1,1,1,1,1,1,2,4,4,7,7,8,9,18,22,24,28,31,41,46,265,439,603,782,971,1219,1361,1612,1991,2097,2642,2837,3261,3713,3977,4407,4775,5262,5617,5861,6088,6393,6628,6830,7281,7760,8052,8457,8964,9348,9856,10375,10897,11161,11621,12034,12487,12811
Outaouais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,8,12,13,16,18,26,28,38,50,64,75,81,85,109,117,129,130,131,141,157,169,169,180,181,191,192,202,209,214,219,219,229,236,246,252,266,270,273
Abitibi-Témiscamingue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,11,18,24,27,28,34,41,47,58,76,83,101,108,111,119,130,134,137,172,138,139,140,143,143,145,147,148,148,149,149,150,150,150,149,149
Côte-Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,13,17,26,30,35,42,47,49,58,68,71,75,81,84,92,92,95,96,98,101,104,107,109,110,111,112,112,112,108,108,110,114,106
Nord-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,7,7
Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,7,9,9,13,37,37,38,41,43,54,62,66,75,79,84,90,96,97,99,103,103,107,119,125,125,138,146,149,152,156,163,165,165,164
Chaudière-Appalaches,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,6,6,6,13,13,15,41,46,58,73,80,86,95,117,130,133,136,139,156,158,181,195,207,222,230,247,272,286,291,293,304,316,329,333,341,346,349,355,367,374,378,382,392
Laval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,21,60,84,95,130,160,180,257,272,338,411,476,569,640,712,759,831,897,1017,1108,1231,1268,1358,1455,1620,1772,1897,2029,2095,2199,2296,2411,2482,2589,2711,2852,2919,3082
